City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,gat,31.61,34.76,73.99,68,67,1.01,IL,1589437721
139,airai,-8.93,125.41,70.63,81,68,4.99,TL,1589437721
140,keti bandar,24.14,67.45,88.5,58,31,12.97,PK,1589437721
141,carnarvon,-24.87,113.63,83.7,24,0,2.82,AU,1589437470
142,kahului,20.89,-156.47,75.2,78,40,6.93,US,1589437721
143,sisimiut,66.94,-53.67,38.28,83,51,2.06,GL,1589437721
144,chapais,49.78,-74.85,26.28,98,0,3.36,CA,1589437507
145,cotcot,16.83,120.84,71.64,78,85,0.31,PH,1589437722
146,bento goncalves,-29.17,-51.52,59.0,96,99,5.01,BR,1589437722
147,qasigiannguit,68.82,-51.19,32.0,97,36,3.36,GL,1589437722
148,port alfred,-33.59,26.89,64.0,73,26,3.0,ZA,1589437670
149,kruisfontein,-34.0,24.73,56.08,70,0,7.0,ZA,1589437723
150,kunming,25.04,102.72,79.0,36,40,24.61,CN,1589437723
151,manyana,-23.4,21.72,54.03,39,0,5.99,BW,1589437723
152,pochutla,15.74,-96.47,82.0,78,57,2.33,MX,1589437723
153,marfino,55.7,37.38,52.0,57,43,15.66,RU,1589437724
154,pasighat,28.07,95.33,86.36,44,43,4.76,IN,1589437724
155,mar del plata,-38.0,-57.56,37.4,93,20,3.36,AR,1589437724
156,la ronge,55.1,-105.28,43.86,60,12,9.04,CA,1589437724
157,benoy,8.98,16.32,81.61,62,89,6.67,TD,1589437724
158,grindavik,63.84,-22.43,44.6,100,90,19.46,IS,1589437700
159,yumen,40.28,97.2,79.02,15,88,19.28,CN,1589437724
160,provideniya,64.38,-173.3,39.2,75,87,6.71,RU,1589437725
161,dubai,25.26,55.3,87.8,45,0,6.93,AE,1589437485
162,barrow,71.29,-156.79,21.2,85,1,16.11,US,1589437725
163,hakkari,37.58,44.17,59.0,47,20,3.36,TR,1589437725
164,bardstown,37.81,-85.47,53.01,100,40,7.23,US,1589437667
165,swan hill,-35.34,143.55,57.87,39,0,7.07,AU,1589437725
166,faanui,-16.48,-151.75,81.86,78,0,15.57,PF,1589437726
167,linxia,35.6,103.21,70.72,23,41,5.48,CN,1589437726
168,beaufort,5.35,115.75,89.6,70,75,5.82,MY,1589437726
169,cheremukhovo,60.35,59.99,66.63,57,4,6.4,RU,1589437726
170,awbari,26.59,12.78,81.41,12,0,12.24,LY,1589437726
171,chuy,-33.7,-53.46,48.88,90,2,8.37,UY,1589437726
172,pacific grove,36.62,-121.92,60.8,77,90,3.36,US,1589437517
173,brae,60.4,-1.35,41.0,93,96,6.93,GB,1589437727
174,macapa,0.04,-51.07,78.8,100,40,2.24,BR,1589437727
175,nyurba,63.28,118.33,44.82,58,97,7.81,RU,1589437728
176,alice springs,-23.7,133.88,68.0,18,45,13.87,AU,1589437482
177,vilcun,-38.65,-72.23,48.2,100,98,1.21,CL,1589437728
178,east london,-33.02,27.91,64.4,59,15,12.75,ZA,1589437728
179,acajutla,13.59,-89.83,70.0,100,89,3.06,SV,1589437728
180,upernavik,72.79,-56.15,34.36,90,98,3.62,GL,1589437728
181,baykit,61.67,96.37,47.5,49,78,6.44,RU,1589437729
182,sangar,63.92,127.47,44.02,79,100,13.11,RU,1589437729
183,anshun,26.25,105.93,79.16,54,11,11.21,CN,1589437729
184,pazmand,47.29,18.65,59.0,66,62,11.92,HU,1589437729
185,penhold,52.13,-113.87,44.01,39,31,3.0,CA,1589437729
186,komsomolskiy,40.43,71.72,64.4,63,40,11.41,UZ,1589437729
187,hare bay,48.85,-54.01,35.01,69,16,15.01,CA,1589437730
188,tuktoyaktuk,69.45,-133.04,21.74,96,100,7.61,CA,1589437730
189,altay,47.87,88.12,77.07,22,2,10.36,CN,1589437730
190,toora-khem,52.47,96.11,57.61,65,100,10.11,RU,1589437730
191,bredasdorp,-34.53,20.04,48.2,87,0,4.7,ZA,1589437730
